participant	session	TrialNumber	speed	barWidth	time	ran	order	wbad	wbas
Nobody	1	93	0.0	1	42	0.0	--	--	--
Nobody	1	94	0.0	1	43	0.0	--	--	--
Nobody	1	95	0.0	1	44	0.0	--	--	--
Nobody	1	96	0.0	1	45	0.0	--	--	--
Nobody	1	97	0.0	1	46	0.0	--	--	--
Nobody	1	98	0.0	1	47	0.0	--	--	--
Nobody	1	99	0.0	1	48	0.0	--	--	--
Nobody	1	100	0.0	1	49	0.0	--	--	--
Nobody	1	101	35.0	1	0	0.0	--	--	--
Nobody	1	102	35.0	1	1	0.0	--	--	--
Nobody	1	103	35.0	1	2	0.0	--	--	--
Nobody	1	104	35.0	1	3	0.0	--	--	--
Nobody	1	105	35.0	1	4	0.0	--	--	--
Nobody	1	106	35.0	1	5	0.0	--	--	--
Nobody	1	107	35.0	1	6	0.0	--	--	--
Nobody	1	108	35.0	1	7	0.0	--	--	--
Nobody	1	109	35.0	1	8	0.0	--	--	--
Nobody	1	110	35.0	1	9	0.0	--	--	--
Nobody	1	111	35.0	1	10	0.0	--	--	--
Nobody	1	112	35.0	1	11	0.0	--	--	--
Nobody	1	113	35.0	1	12	0.0	--	--	--
Nobody	1	114	35.0	1	13	0.0	--	--	--
Nobody	1	115	35.0	1	14	0.0	--	--	--
Nobody	1	116	35.0	1	15	0.0	--	--	--
Nobody	1	117	35.0	1	16	0.0	--	--	--
Nobody	1	118	35.0	1	17	0.0	--	--	--
Nobody	1	119	35.0	1	18	0.0	--	--	--
Nobody	1	120	35.0	1	19	0.0	--	--	--
Nobody	1	121	35.0	1	20	0.0	--	--	--
Nobody	1	122	35.0	1	21	0.0	--	--	--
Nobody	1	123	35.0	1	22	0.0	--	--	--
Nobody	1	124	35.0	1	23	0.0	--	--	--
Nobody	1	125	35.0	1	24	0.0	--	--	--
Nobody	1	126	35.0	1	25	0.0	--	--	--
Nobody	1	127	35.0	1	26	0.0	--	--	--
Nobody	1	128	35.0	1	27	0.0	--	--	--
Nobody	1	129	35.0	1	28	0.0	--	--	--
Nobody	1	130	35.0	1	29	0.0	--	--	--
Nobody	1	131	35.0	1	30	0.0	--	--	--
Nobody	1	132	35.0	1	31	0.0	--	--	--
Nobody	1	133	35.0	1	32	0.0	--	--	--
Nobody	1	134	35.0	1	33	0.0	--	--	--
Nobody	1	135	35.0	1	34	0.0	--	--	--
Nobody	1	136	35.0	1	35	0.0	--	--	--
Nobody	1	137	35.0	1	36	0.0	--	--	--
Nobody	1	138	35.0	1	37	0.0	--	--	--
Nobody	1	139	35.0	1	38	0.0	--	--	--
Nobody	1	140	35.0	1	39	0.0	--	--	--
Nobody	1	141	35.0	1	40	0.0	--	--	--
Nobody	1	142	35.0	1	41	0.0	--	--	--
Nobody	1	143	35.0	1	42	0.0	--	--	--
Nobody	1	144	35.0	1	43	0.0	--	--	--
Nobody	1	145	35.0	1	44	0.0	--	--	--
Nobody	1	146	35.0	1	45	0.0	--	--	--
Nobody	1	147	35.0	1	46	0.0	--	--	--
Nobody	1	148	35.0	1	47	0.0	--	--	--
Nobody	1	149	35.0	1	48	0.0	--	--	--
Nobody	1	150	35.0	1	49	0.0	--	--	--
Nobody	1	151	0.0	1	0	0.0	--	--	--
Nobody	1	152	0.0	1	1	0.0	--	--	--
Nobody	1	153	0.0	1	2	0.0	--	--	--
Nobody	1	154	0.0	1	3	0.0	--	--	--
Nobody	1	155	0.0	1	4	0.0	--	--	--
Nobody	1	156	0.0	1	5	0.0	--	--	--
Nobody	1	157	0.0	1	6	0.0	--	--	--
Nobody	1	158	0.0	1	7	0.0	--	--	--
Nobody	1	159	0.0	1	8	0.0	--	--	--
Nobody	1	160	0.0	1	9	0.0	--	--	--
Nobody	1	161	0.0	1	10	0.0	--	--	--
Nobody	1	162	0.0	1	11	0.0	--	--	--
Nobody	1	163	0.0	1	12	0.0	--	--	--
Nobody	1	164	0.0	1	13	0.0	--	--	--
Nobody	1	165	0.0	1	14	0.0	--	--	--
Nobody	1	166	0.0	1	15	0.0	--	--	--
Nobody	1	167	0.0	1	16	0.0	--	--	--
Nobody	1	168	0.0	1	17	0.0	--	--	--
Nobody	1	169	0.0	1	18	0.0	--	--	--
Nobody	1	170	0.0	1	19	0.0	--	--	--
Nobody	1	171	0.0	1	20	0.0	--	--	--
Nobody	1	172	0.0	1	21	0.0	--	--	--
Nobody	1	173	0.0	1	22	0.0	--	--	--
Nobody	1	174	0.0	1	23	0.0	--	--	--
Nobody	1	175	0.0	1	24	0.0	--	--	--
Nobody	1	176	0.0	1	25	0.0	--	--	--
Nobody	1	177	0.0	1	26	0.0	--	--	--
Nobody	1	178	0.0	1	27	0.0	--	--	--
Nobody	1	179	0.0	1	28	0.0	--	--	--
Nobody	1	180	0.0	1	29	0.0	--	--	--
Nobody	1	181	0.0	1	30	0.0	--	--	--
Nobody	1	182	0.0	1	31	0.0	--	--	--
Nobody	1	183	0.0	1	32	0.0	--	--	--
Nobody	1	184	0.0	1	33	0.0	--	--	--
Nobody	1	185	0.0	1	34	0.0	--	--	--
Nobody	1	186	0.0	1	35	0.0	--	--	--
Nobody	1	187	0.0	1	36	0.0	--	--	--
Nobody	1	188	0.0	1	37	0.0	--	--	--
Nobody	1	189	0.0	1	38	0.0	--	--	--
Nobody	1	190	0.0	1	39	0.0	--	--	--
Nobody	1	191	0.0	1	40	0.0	--	--	--
Nobody	1	192	0.0	1	41	0.0	--	--	--
Nobody	1	193	0.0	1	42	0.0	--	--	--
Nobody	1	194	0.0	1	43	0.0	--	--	--
Nobody	1	195	0.0	1	44	0.0	--	--	--
Nobody	1	196	0.0	1	45	0.0	--	--	--
Nobody	1	197	0.0	1	46	0.0	--	--	--
Nobody	1	198	0.0	1	47	0.0	--	--	--
Nobody	1	199	0.0	1	48	0.0	--	--	--
Nobody	1	200	0.0	1	49	0.0	--	--	--
Nobody	1	201	30.0	1	0	0.0	--	--	--
Nobody	1	202	30.0	1	1	0.0	--	--	--
Nobody	1	203	30.0	1	2	0.0	--	--	--
Nobody	1	204	30.0	1	3	0.0	--	--	--
Nobody	1	205	30.0	1	4	0.0	--	--	--
Nobody	1	206	30.0	1	5	0.0	--	--	--
Nobody	1	207	30.0	1	6	0.0	--	--	--
Nobody	1	208	30.0	1	7	0.0	--	--	--
Nobody	1	209	30.0	1	8	0.0	--	--	--
Nobody	1	210	30.0	1	9	0.0	--	--	--
Nobody	1	211	30.0	1	10	0.0	--	--	--
Nobody	1	212	30.0	1	11	0.0	--	--	--
Nobody	1	213	30.0	1	12	0.0	--	--	--
Nobody	1	214	30.0	1	13	0.0	--	--	--
Nobody	1	215	30.0	1	14	0.0	--	--	--
Nobody	1	216	30.0	1	15	0.0	--	--	--
Nobody	1	217	30.0	1	16	0.0	--	--	--
Nobody	1	218	30.0	1	17	0.0	--	--	--
Nobody	1	219	30.0	1	18	0.0	--	--	--
Nobody	1	220	30.0	1	19	0.0	--	--	--
Nobody	1	221	30.0	1	20	0.0	--	--	--
Nobody	1	222	30.0	1	21	0.0	--	--	--
Nobody	1	223	30.0	1	22	0.0	--	--	--
Nobody	1	224	30.0	1	23	0.0	--	--	--
Nobody	1	225	30.0	1	24	0.0	--	--	--
Nobody	1	226	30.0	1	25	0.0	--	--	--
Nobody	1	227	30.0	1	26	0.0	--	--	--
Nobody	1	228	30.0	1	27	0.0	--	--	--
Nobody	1	229	30.0	1	28	0.0	--	--	--
Nobody	1	230	30.0	1	29	0.0	--	--	--
Nobody	1	231	30.0	1	30	0.0	--	--	--
Nobody	1	232	30.0	1	31	0.0	--	--	--
Nobody	1	233	30.0	1	32	0.0	--	--	--
Nobody	1	234	30.0	1	33	0.0	--	--	--
Nobody	1	235	30.0	1	34	0.0	--	--	--
Nobody	1	236	30.0	1	35	0.0	--	--	--
Nobody	1	237	30.0	1	36	0.0	--	--	--
Nobody	1	238	30.0	1	37	0.0	--	--	--
Nobody	1	239	30.0	1	38	0.0	--	--	--
Nobody	1	240	30.0	1	39	0.0	--	--	--
Nobody	1	241	30.0	1	40	0.0	--	--	--
Nobody	1	242	30.0	1	41	0.0	--	--	--
Nobody	1	243	30.0	1	42	0.0	--	--	--
Nobody	1	244	30.0	1	43	0.0	--	--	--
Nobody	1	245	30.0	1	44	0.0	--	--	--
Nobody	1	246	30.0	1	45	0.0	--	--	--
Nobody	1	247	30.0	1	46	0.0	--	--	--
Nobody	1	248	30.0	1	47	0.0	--	--	--
Nobody	1	249	30.0	1	48	0.0	--	--	--
Nobody	1	250	30.0	1	49	0.0	--	--	--
Nobody	1	251	0.0	1	0	0.0	--	--	--
Nobody	1	252	0.0	1	1	0.0	--	--	--
Nobody	1	253	0.0	1	2	0.0	--	--	--
Nobody	1	254	0.0	1	3	0.0	--	--	--
Nobody	1	255	0.0	1	4	0.0	--	--	--
Nobody	1	256	0.0	1	5	0.0	--	--	--
Nobody	1	257	0.0	1	6	0.0	--	--	--
